:START_ID(Street),:END_ID(Ward),:TYPE
street|22ce0bf0e1ffe4,ward|ho-chi-minh|phuong-tan-my,IN_WARD
street|22fe67caeda438,ward|ho-chi-minh|phuong-linh-xuan,IN_WARD
street|238e4308efea1f,ward|ho-chi-minh|phuong-phu-tho-hoa,IN_WARD
street|23bcf140a7a93c,ward|ho-chi-minh|phuong-chanh-hung,IN_WARD
street|244325f2ebe94e,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|2443b398354f29,ward|ho-chi-minh|phuong-long-binh,IN_WARD
street|246a0cb86aa59a,ward|ho-chi-minh|phuong-binh-tri-ong,IN_WARD
street|2523e564927667,ward|ho-chi-minh|phuong-tan-my,IN_WARD
street|25495e276b3b21,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
street|256461351c0cb8,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|25cb9ae0500d70,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
street|266721c4304ca2,ward|ho-chi-minh|xa-binh-hung,IN_WARD
street|26673b3aa17f3d,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
street|2671051c652122,ward|ho-chi-minh|phuong-long-nguyen,IN_WARD
street|2695566a5882c0,ward|ho-chi-minh|phuong-di-an,IN_WARD
street|26dc5986372708,ward|ho-chi-minh|phuong-tan-son-nhi,IN_WARD
street|27461f25e70b2a,ward|ho-chi-minh|phuong-tan-son,IN_WARD
street|28114df5b81a37,ward|ho-chi-minh|phuong-tam-thang,IN_WARD
street|283cfe02d5f669,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
street|286d9639bf7147,ward|ho-chi-minh|phuong-phu-lam,IN_WARD
street|2905f541f13cd1,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
street|293e6b6537dd0d,ward|ho-chi-minh|phuong-binh-phu,IN_WARD
street|2943e7d2117002,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
street|2969a50eb8b1b3,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
street|298c7833b88e2f,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
street|29d24d9043fb41,ward|ho-chi-minh|phuong-an-hoi-tay,IN_WARD
street|29e9bb264b9e65,ward|ho-chi-minh|phuong-phu-thanh,IN_WARD
street|2b2d09142083d8,ward|ho-chi-minh|phuong-tan-binh,IN_WARD
street|2b65c9d61c8e3b,ward|ho-chi-minh|phuong-tan-son-nhi,IN_WARD
street|2b65fcf836fedc,ward|ho-chi-minh|phuong-cau-kieu,IN_WARD
street|2beaf39bb97ce4,ward|ho-chi-minh|phuong-long-phuoc,IN_WARD
street|2c01de6a55bf1c,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
street|2c4820407ed488,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
street|2c9adfe39657c0,ward|ho-chi-minh|xa-hoc-mon,IN_WARD
street|2d0a83fe719bd3,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
street|2d0af78b58ca9f,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
street|2d3d9e05a25176,ward|ho-chi-minh|phuong-phu-inh,IN_WARD
street|2d4dcc2f2dfd68,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
street|2de92042007b02,ward|ho-chi-minh|phuong-linh-xuan,IN_WARD
street|2e2579b28f6b8e,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
street|2f3928153106df,ward|ho-chi-minh|phuong-tan-inh,IN_WARD
street|2f65a5c5347149,ward|ho-chi-minh|phuong-phuoc-long,IN_WARD
street|2f8a4dd33396b2,ward|ho-chi-minh|phuong-thu-uc,IN_WARD
street|2feb6352d41830,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|2ff71bf8f13e6e,ward|ho-chi-minh|phuong-binh-duong,IN_WARD
street|2ff7d56e41cb6e,ward|ho-chi-minh|phuong-long-truong,IN_WARD
street|320e6da9483d7f,ward|ho-chi-minh|phuong-binh-tay,IN_WARD
street|3234d2a954bb3b,ward|ho-chi-minh|phuong-cau-kieu,IN_WARD
street|32a0cead84ce10,ward|ho-chi-minh|phuong-binh-loi-trung,IN_WARD
street|3306148aff20c7,ward|ho-chi-minh|phuong-cat-lai,IN_WARD
street|330ba3375f874b,ward|ho-chi-minh|phuong-di-an,IN_WARD
street|330ca67afaba1e,ward|ho-chi-minh|phuong-chanh-phu-hoa,IN_WARD
street|3326d4dac33580,ward|ho-chi-minh|phuong-tam-thang,IN_WARD
street|3341d29cabfde2,ward|ho-chi-minh|phuong-an-ong,IN_WARD
street|3369a385ee1731,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
street|3387290c1fca8e,ward|ho-chi-minh|phuong-cau-kieu,IN_WARD
street|33c8b1b422d469,ward|ho-chi-minh|phuong-thoi-an,IN_WARD
street|341e57b7922898,ward|ho-chi-minh|phuong-thoi-an,IN_WARD
street|3422eebc89e300,ward|ho-chi-minh|phuong-vuon-lai,IN_WARD
street|347282601781ea,ward|ho-chi-minh|xa-xuan-thoi-son,IN_WARD
street|34b0d55c797310,ward|ho-chi-minh|phuong-phu-inh,IN_WARD
street|34cd0265ed5599,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|34dda05d768f9b,ward|ho-chi-minh|phuong-thoi-an,IN_WARD
street|351637e1c9dc48,ward|ho-chi-minh|phuong-long-truong,IN_WARD
street|354b268ebc42b8,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|355c05741095e4,ward|ho-chi-minh|phuong-hanh-thong,IN_WARD
street|3584d277864df5,ward|ho-chi-minh|phuong-dien-hong,IN_WARD
street|358aa576dfd920,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
street|35c58ff27ca4f1,ward|ho-chi-minh|phuong-hanh-thong,IN_WARD
street|35d6d4feaa5d26,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
street|363ad62dcbda2c,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|36d4dbbb604b9b,ward|ho-chi-minh|phuong-phuoc-long,IN_WARD
street|36ed88d3cfecc0,ward|ho-chi-minh|phuong-tan-ong-hiep,IN_WARD
street|3724dea8abfff3,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|374553c7ff6f75,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|37652f5971681c,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|378552d2025a5a,ward|ho-chi-minh|phuong-an-hoi-tay,IN_WARD
street|37997a8f910e83,ward|ho-chi-minh|phuong-an-hoi-tay,IN_WARD
street|37d90a43c37c19,ward|ho-chi-minh|phuong-phu-tho-hoa,IN_WARD
street|381cc7f3f84eac,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
street|3824b2bdb2234c,ward|ho-chi-minh|phuong-tan-binh,IN_WARD
street|383d4712028863,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
street|384aa2b4d38e18,ward|ho-chi-minh|xa-xuan-thoi-son,IN_WARD
street|384fa587bf107c,ward|ho-chi-minh|phuong-long-truong,IN_WARD
street|38860a1b9eabb9,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|38c1ef7e33f70d,ward|ho-chi-minh|phuong-binh-hung-hoa,IN_WARD
street|38ed0e34566522,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|3914b94fd68e32,ward|ho-chi-minh|phuong-tan-my,IN_WARD
street|392279df3aedbd,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|3942d53aa37b48,ward|ho-chi-minh|phuong-long-truong,IN_WARD
street|39c509d789089c,ward|ho-chi-minh|phuong-an-hoi-ong,IN_WARD
street|39d6660b281ad8,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
street|3a051659e7e28c,ward|ho-chi-minh|phuong-cat-lai,IN_WARD
street|3a0d283afc59b5,ward|ho-chi-minh|phuong-bay-hien,IN_WARD
street|3a0f3594deb6ad,ward|ho-chi-minh|phuong-an-phu-ong,IN_WARD
street|3af6236e8cfe7b,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
street|3af62ef4a33a40,ward|ho-chi-minh|phuong-nhieu-loc,IN_WARD
street|3b16de3b0c0bd1,ward|ho-chi-minh|xa-binh-loi,IN_WARD
street|3b767d9f77d896,ward|ho-chi-minh|phuong-ban-co,IN_WARD
street|3b773cda7430d9,ward|ho-chi-minh|xa-binh-chanh,IN_WARD
street|3c052f4faad1b6,ward|ho-chi-minh|phuong-phu-inh,IN_WARD
street|3c276d6802195b,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
street|3c297639571927,ward|ho-chi-minh|phuong-trung-my-tay,IN_WARD
street|3c42b7b46f7bbd,ward|ho-chi-minh|phuong-linh-xuan,IN_WARD
street|3ca75f869383a7,ward|ho-chi-minh|phuong-binh-loi-trung,IN_WARD
street|3cbeb7299c630d,ward|ho-chi-minh|phuong-dien-hong,IN_WARD
street|3ccf92f916ba27,ward|ho-chi-minh|xa-ba-iem,IN_WARD
street|3cda3f0562a70c,ward|ho-chi-minh|phuong-an-ong,IN_WARD
street|3ceb11a91c1e72,ward|ho-chi-minh|phuong-hanh-thong,IN_WARD
street|3d0c4e14c5c6cd,ward|ho-chi-minh|phuong-tan-son-hoa,IN_WARD
