amenity_id:ID(Amenity),name:string,category:string,latitude:float,longitude:float,street:string,address:string,operator:string,:LABEL
node/9751109563,Công viên nội bộ chung cư Hòa Bình,park,10.7670592,106.6610774,3 tháng 2,"666/44, 3 tháng 2, 10, Thành phố Hồ Chí Minh",Chung cư Hòa Bình,Amenity;Park
node/9776229833,USAMua - MUA HÀNG MỸ - CN BÌNH DƯƠNG,supermarket,10.9810767,106.6722416,30 Tháng 4,"17, 30 Tháng 4, Thủ Dầu Một",,Amenity;Supermarket
node/9921298480,Grove Fresh,supermarket,10.7680881,106.6845432,Nguyễn Thị Minh Khai,,,Amenity;Supermarket
node/9965185460,Bệnh viện Quận 1 (cơ sở 2),hospital,10.7651115,106.6932273,Trần Hưng Ðạo,"235-237, Trần Hưng Ðạo",,Amenity;Hospital
relation/11084516,Công viên 30 Tháng 4,park,10.7792539,106.6973425,Pasteur,,,Amenity;Park
relation/11102209,Chợ cũ Tôn Thất Đạm,market,10.7719499,106.7029683,Tôn Thất Ðạm,,,Amenity;Market
relation/14468398,Bệnh viện Nguyễn Tri Phương,hospital,10.7551268,106.670238,Đường Nguyễn Trãi,,,Amenity;Hospital
relation/14939719,Công viên 23 tháng 9,park,10.7695676,106.6939415,,"District 1, Ho Chi Minh City",,Amenity;Park
relation/15055958,Trường Đại học Việt Đức,college_university,11.1070971,106.6147792,,,,Amenity;CollegeUniversity
relation/15862080,Bệnh viện Nhân dân 115,hospital,10.7745844,106.6665349,Sư Vạn Hạnh,"527, Sư Vạn Hạnh, 10, Ho Chi Minh City",,Amenity;Hospital
relation/16241635,Trường Đại học Tài chính - Marketing,college_university,10.8145273,106.8092252,Võ Văn Hát,"306, Võ Văn Hát",,Amenity;CollegeUniversity
relation/16291702,Trường Tiểu Học Tân Túc 2,school,10.6924157,106.5797889,Nguyễn Hữu Trí,"369, Nguyễn Hữu Trí, Bình Chánh, Hồ Chí Minh",,Amenity;School
relation/17583696,Công viên Gia Định,park,10.8125387,106.6752341,Đặng Văn Sâm,,,Amenity;Park
relation/17583697,Công viên Hoàng Văn Thụ,park,10.8025098,106.6645157,Hầm chui Phan Thúc Duyện,,,Amenity;Park
relation/18360640,Công viên Ao cá,park,10.3319054,107.0843962,Ngô Thì Sĩ / Phạm Đình Hổ,,,Amenity;Park
relation/20433469,Trường Trung Học Cơ Sở Lương Thế Vinh,school,10.8795342,106.6776823,Tô Ngọc Vân,"Tô Ngọc Vân, Hồ Chí Minh",Ủy ban Nhân dân Phường Thới An,Amenity;School
relation/2552505,Chợ Bình Tây,market,10.7493311,106.6510683,Đường Tháp Mười,"57A, Đường Tháp Mười, Quận 6",,Amenity;Market
relation/7261657,Đại học Bình Dương,college_university,10.9903827,106.6646119,Đại lộ Bình Dương,"504, Đại lộ Bình Dương",,Amenity;CollegeUniversity
relation/9487536,Trường Đại học Nguyễn Tất Thành,college_university,10.7611356,106.7097573,Nguyễn Tất Thành,"300A, Nguyễn Tất Thành",,Amenity;CollegeUniversity
way/1010843998,CÔNG VIÊN 8XLUS,park,10.8312903,106.621888,,,tập đoàn Hưng Thịnh,Amenity;Park
way/1010844322,BỆNH VIỆN ĐA KHOA TÂM TRÍ SÀI GÒN,hospital,10.8316195,106.6215219,Trường Chinh,"171/3, Trường Chinh",TẬP ĐOÀN TÂM TRÍ SÀI GÒN,Amenity;Hospital
way/1017762594,Trường Trung học cơ sở Nguyễn Văn Bứa,school,10.8708639,106.5369337,,,,Amenity;School
way/1018763400,Trường Trung học phổ thông Thủ Thiêm,school,10.797291,106.7438677,Vũ Tông Phan,"1, Vũ Tông Phan",,Amenity;School
way/1018763401,Trường Trung học phổ thông Long Trường,school,10.8172078,106.8087033,Đường Võ Văn Hát,"309, Đường Võ Văn Hát",,Amenity;School
