:START_ID(Listing),:END_ID(FormerAdminArea),:TYPE
43452836,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44273779,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44484541,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44657659,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
44656554,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45199130,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43927551,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44586268,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
36221753,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
40340780,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
44825273,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
43849134,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44731068,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43344418,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43572792,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44922077,former-area|ho-chi-minh|thanh-pho-thu-uc,IN_FORMER_AREA
44957828,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
43202640,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
43696637,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45017137,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45194899,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45235813,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
43963943,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45100589,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
42218073,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44753361,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44863961,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45057652,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
45186771,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
44781956,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
45247231,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44596035,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44729161,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
44568353,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
44530340,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
43481818,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
45245632,former-area|ho-chi-minh|quan-3,IN_FORMER_AREA
44956559,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
45244476,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45106401,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43652465,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44199099,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45132364,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44591760,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45063282,former-area|ho-chi-minh|quan-phu-nhuan,IN_FORMER_AREA
45244194,former-area|ba-ria-vung-tau|thanh-pho-vung-tau,IN_FORMER_AREA
45240822,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43605480,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
45025864,former-area|ho-chi-minh|quan-tan-phu,IN_FORMER_AREA
45240735,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
44715266,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
44016214,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
44690504,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44877318,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44840033,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43940956,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
45173212,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44130737,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45229622,former-area|ho-chi-minh|quan-5,IN_FORMER_AREA
44464667,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
