:START_ID(Listing),:END_ID(GeoCluster),:TYPE
44626653,G0804,IN_CLUSTER
45179775,G0754,IN_CLUSTER
45175567,G0241,IN_CLUSTER
45177611,G0241,IN_CLUSTER
44847526,G0804,IN_CLUSTER
44424655,G0614,IN_CLUSTER
44762062,G0608,IN_CLUSTER
45133806,G0144,IN_CLUSTER
45133822,G0144,IN_CLUSTER
45017788,G0640,IN_CLUSTER
44585453,G0835,IN_CLUSTER
44453924,G0909,IN_CLUSTER
43926137,G1027,IN_CLUSTER
45172791,G0281,IN_CLUSTER
44892271,G0581,IN_CLUSTER
45102937,G0487,IN_CLUSTER
45095425,G0105,IN_CLUSTER
45095507,G0105,IN_CLUSTER
44706860,G0378,IN_CLUSTER
45171887,G0766,IN_CLUSTER
45172117,G0263,IN_CLUSTER
45171910,G0241,IN_CLUSTER
45171934,G0241,IN_CLUSTER
44631355,G0835,IN_CLUSTER
43715977,G1012,IN_CLUSTER
45055545,G0144,IN_CLUSTER
44427897,G0432,IN_CLUSTER
44422861,G0804,IN_CLUSTER
44046077,G0798,IN_CLUSTER
43551199,G0804,IN_CLUSTER
45084721,G0835,IN_CLUSTER
44463660,G0835,IN_CLUSTER
43679734,G0909,IN_CLUSTER
43847718,G0804,IN_CLUSTER
44562715,G1025,IN_CLUSTER
44023941,G0835,IN_CLUSTER
44988147,G0829,IN_CLUSTER
44843130,G0466,IN_CLUSTER
44904039,G0429,IN_CLUSTER
44945503,G0544,IN_CLUSTER
45052937,G0460,IN_CLUSTER
44988313,G0829,IN_CLUSTER
45062392,G0212,IN_CLUSTER
44945217,G0490,IN_CLUSTER
45072815,G0185,IN_CLUSTER
45061945,G0216,IN_CLUSTER
44050164,G0549,IN_CLUSTER
44860566,G0067,IN_CLUSTER
43345644,G0835,IN_CLUSTER
45158878,G1037,IN_CLUSTER
45024916,G0332,IN_CLUSTER
45260658__1,G1050,IN_CLUSTER
44910264__1,G0215,IN_CLUSTER
44315816__1,G0072,IN_CLUSTER
45240187__1,G0602,IN_CLUSTER
41685836__1,G0089,IN_CLUSTER
45176664__1,G1011,IN_CLUSTER
45257389,G0737,IN_CLUSTER
45260073,G0857,IN_CLUSTER
45221822,G0256,IN_CLUSTER
45118179,G0715,IN_CLUSTER
45109833,G0501,IN_CLUSTER
44762633,G1008,IN_CLUSTER
45139928,G0362,IN_CLUSTER
45170694,G0499,IN_CLUSTER
37920615,G1063,IN_CLUSTER
45214509,G0372,IN_CLUSTER
45218797,G0830,IN_CLUSTER
45188401,G1060,IN_CLUSTER
45027406,G0572,IN_CLUSTER
42599412,G0215,IN_CLUSTER
45245657,G1006,IN_CLUSTER
45266012,G0606,IN_CLUSTER
45266829,G0083,IN_CLUSTER
45171748,G0538,IN_CLUSTER
45234494,G0868,IN_CLUSTER
45251894,G0805,IN_CLUSTER
45138363,G0734,IN_CLUSTER
45221020,G0702,IN_CLUSTER
45164769,G0169,IN_CLUSTER
44586946,G0350,IN_CLUSTER
43695382,G0083,IN_CLUSTER
45246408,G0694,IN_CLUSTER
42423444,G0864,IN_CLUSTER
45164575,G0049,IN_CLUSTER
45233274,G0270,IN_CLUSTER
44945202,G0336,IN_CLUSTER
45233008,G0216,IN_CLUSTER
45170798,G0577,IN_CLUSTER
45209347,G0803,IN_CLUSTER
45232003,G0675,IN_CLUSTER
45191674,G0059,IN_CLUSTER
44960303,G0359,IN_CLUSTER
45227137,G0576,IN_CLUSTER
44285831,G0730,IN_CLUSTER
45176118,G0583,IN_CLUSTER
44708079,G0368,IN_CLUSTER
44869380,G0987,IN_CLUSTER
45215745,G1061,IN_CLUSTER
44490909,G0253,IN_CLUSTER
45195893,G0457,IN_CLUSTER
44085270,G0547,IN_CLUSTER
45188258,G1050,IN_CLUSTER
45179572,G0046,IN_CLUSTER
44391654,G0248,IN_CLUSTER
43684389,G0119,IN_CLUSTER
45263166,G0566,IN_CLUSTER
45255723,G0638,IN_CLUSTER
43684138,G0322,IN_CLUSTER
45138441,G0866,IN_CLUSTER
45180580,G1024,IN_CLUSTER
45266795,G0667,IN_CLUSTER
44604418,G0238,IN_CLUSTER
45132003,G0064,IN_CLUSTER
44041038,G0347,IN_CLUSTER
45271919,G0116,IN_CLUSTER
45268389,G0499,IN_CLUSTER
45250947,G0953,IN_CLUSTER
45147770,G0730,IN_CLUSTER
45060998,G0481,IN_CLUSTER
45257856,G0656,IN_CLUSTER
45260658__2,G1050,IN_CLUSTER
44559172,G0168,IN_CLUSTER
44817698,G0136,IN_CLUSTER
44066956,G0142,IN_CLUSTER
45236779,G0485,IN_CLUSTER
44838130,G0327,IN_CLUSTER
44624983,G0207,IN_CLUSTER
45075817,G0860,IN_CLUSTER
45075802,G0752,IN_CLUSTER
45019732,G0860,IN_CLUSTER
44562429,G0156,IN_CLUSTER
45072577,G0087,IN_CLUSTER
45255747,G0860,IN_CLUSTER
45236207,G0892,IN_CLUSTER
45071367,G0758,IN_CLUSTER
44753008,G0279,IN_CLUSTER
45231504,G0630,IN_CLUSTER
44106049,G0359,IN_CLUSTER
45252747,G0611,IN_CLUSTER
43698090,G0307,IN_CLUSTER
43775385,G0493,IN_CLUSTER
44574182,G0194,IN_CLUSTER
44949894,G0060,IN_CLUSTER
45256206,G0871,IN_CLUSTER
45124344,G0434,IN_CLUSTER
44522419,G0178,IN_CLUSTER
44014157,G0064,IN_CLUSTER
44963713,G0064,IN_CLUSTER
45091488,G0150,IN_CLUSTER
45069226,G0072,IN_CLUSTER
43533970,G0201,IN_CLUSTER
45214659,G0554,IN_CLUSTER
