:START_ID(Listing),:END_ID(Amenity),category:string,rank:int,is_nearest:boolean,straight_line_km:float,driving_distance_km:float,driving_duration_min:float,within_threshold:boolean,threshold_km:float,:TYPE
44107433,relation/16241635,college_university,1,true,2.693,4.1,7.1,true,5.0,NEAR_AMENITY
44107433,node/11586280327,metro,1,true,8.116,10.014,13.4,false,3.0,NEAR_AMENITY
44107433,way/1115566351,mall,1,true,5.224,7.793,13.1,false,5.0,NEAR_AMENITY
44107433,node/4374995103,market,1,true,1.016,1.704,3.6,true,2.0,NEAR_AMENITY
44107433,node/11328890468,supermarket,1,true,5.297,8.401,11.8,false,2.0,NEAR_AMENITY
44107433,way/1380599078,park,1,true,3.815,4.779,7.7,true,5.0,NEAR_AMENITY
44107433,node/11838346595,bus_stop,1,true,1.419,2.229,4.3,false,2.0,NEAR_AMENITY
44986524,node/9586251041,hospital,1,true,3.28,4.684,6.5,,,NEAR_AMENITY
44986524,way/1157449244,school,1,true,0.318,0.645,1.7,true,2.0,NEAR_AMENITY
44986524,way/227520498,college_university,1,true,1.224,2.421,3.7,true,5.0,NEAR_AMENITY
44986524,way/1162981728,metro,1,true,5.384,6.979,8.9,false,3.0,NEAR_AMENITY
44986524,way/362000989,mall,1,true,0.804,2.7,4.5,true,5.0,NEAR_AMENITY
44986524,way/263313887,market,1,true,2.533,3.796,5.5,false,2.0,NEAR_AMENITY
44986524,way/290188110,supermarket,1,true,0.41,1.022,2.4,true,2.0,NEAR_AMENITY
44986524,way/224451400,park,1,true,1.303,2.831,4.8,true,5.0,NEAR_AMENITY
44986524,node/11774744197,bus_stop,1,true,0.619,1.87,3.2,true,2.0,NEAR_AMENITY
45102500,way/187895176,hospital,1,true,2.612,3.826,5.3,,,NEAR_AMENITY
45102500,way/1042557782,school,1,true,1.031,1.299,2.0,true,2.0,NEAR_AMENITY
45102500,way/192512338,college_university,1,true,1.083,2.1,3.2,true,5.0,NEAR_AMENITY
45102500,node/11586280298,metro,1,true,0.477,1.041,2.0,true,3.0,NEAR_AMENITY
45102500,node/2624268215,mall,1,true,1.642,2.79,3.6,true,5.0,NEAR_AMENITY
45102500,node/8269175107,market,1,true,0.956,1.116,2.4,true,2.0,NEAR_AMENITY
45102500,node/6794354485,supermarket,1,true,0.647,0.883,2.1,true,2.0,NEAR_AMENITY
45102500,way/504571792,park,1,true,0.929,0.944,2.0,true,5.0,NEAR_AMENITY
45102500,node/3166144992,bus_stop,1,true,0.677,1.955,2.4,true,2.0,NEAR_AMENITY
45189967,way/127299415,hospital,1,true,3.059,5.265,7.1,,,NEAR_AMENITY
45189967,way/1037121101,school,1,true,0.101,0.166,0.5,true,2.0,NEAR_AMENITY
45189967,way/1057874323,college_university,1,true,0.735,1.554,3.6,true,5.0,NEAR_AMENITY
45189967,node/11586280299,metro,1,true,1.619,3.808,6.7,false,3.0,NEAR_AMENITY
45189967,node/9586916912,mall,1,true,1.64,3.582,6.0,true,5.0,NEAR_AMENITY
45189967,way/597466819,market,1,true,1.234,3.022,5.3,false,2.0,NEAR_AMENITY
45189967,way/260017030,supermarket,1,true,0.384,0.543,1.4,true,2.0,NEAR_AMENITY
45189967,way/1037121097,park,1,true,0.42,0.542,1.5,true,5.0,NEAR_AMENITY
45189967,node/12435545077,bus_stop,1,true,0.034,0.033,0.1,true,2.0,NEAR_AMENITY
44848669,node/9593946639,hospital,1,true,6.43,7.479,10.8,,,NEAR_AMENITY
44848669,relation/16291702,school,1,true,0.865,1.504,3.1,true,2.0,NEAR_AMENITY
44848669,way/1433503743,college_university,1,true,2.628,3.319,4.5,true,5.0,NEAR_AMENITY
44848669,way/1162981728,metro,1,true,15.425,19.324,18.3,false,3.0,NEAR_AMENITY
44848669,way/504157823,mall,1,true,6.834,8.45,11.5,false,5.0,NEAR_AMENITY
44848669,node/9593946657,market,1,true,3.087,3.737,5.8,false,2.0,NEAR_AMENITY
44848669,node/6024915705,supermarket,1,true,2.495,3.483,4.2,false,2.0,NEAR_AMENITY
44848669,way/1211031817,park,1,true,6.605,7.792,10.3,false,5.0,NEAR_AMENITY
44848669,node/12237338972,bus_stop,1,true,0.392,0.695,1.7,true,2.0,NEAR_AMENITY
43919030,node/3217904580,hospital,1,true,7.529,13.689,14.6,,,NEAR_AMENITY
43919030,way/264458644,school,1,true,1.604,2.125,4.9,false,2.0,NEAR_AMENITY
43919030,way/1138068422,college_university,1,true,3.994,4.605,8.0,true,5.0,NEAR_AMENITY
