:START_ID(Listing),:END_ID(Ward),:TYPE
44464667,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44870654,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
43146761,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
43768536,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43161489,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45187377,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45240205,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
43756300,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
44816319,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
43748419,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
45229939,ward|ho-chi-minh|phuong-an-ong,IN_WARD
43693887,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44700316,ward|ho-chi-minh|phuong-long-truong,IN_WARD
44815299,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44516802,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44464713,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44740670,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44723700,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
45032566,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
34061984,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
43203408,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45014980,ward|ho-chi-minh|phuong-cho-lon,IN_WARD
45016308,ward|ho-chi-minh|phuong-tan-son-nhi,IN_WARD
44659061,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45235201,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45236710,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45236270,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
43548457,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
45234636,ward|ho-chi-minh|phuong-an-ong,IN_WARD
45234641,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
43228481,ward|ho-chi-minh|phuong-binh-hoa,IN_WARD
40990762,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45196185,ward|ho-chi-minh|phuong-minh-phung,IN_WARD
45155260,ward|ho-chi-minh|phuong-minh-phung,IN_WARD
45222811,ward|ho-chi-minh|phuong-cho-lon,IN_WARD
44902020,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44887604,ward|ho-chi-minh|xa-nha-be,IN_WARD
43779678,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44143992,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45010170,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44532012,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43863458,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43874379,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45039157,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43725380,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44531634,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
44241249,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45229457,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45151230,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
44841772,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44845848,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45197810,ward|ho-chi-minh|phuong-go-vap,IN_WARD
45081807,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
45210622,ward|ho-chi-minh|phuong-an-lac,IN_WARD
45228435,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44450031,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44612137,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44596902,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
43284831,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45138926,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45057690,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44482148,ward|ho-chi-minh|phuong-ban-co,IN_WARD
45227501,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44137008,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
42091112,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44714707,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45223376,ward|ho-chi-minh|phuong-phu-lam,IN_WARD
45202954,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44894510,ward|ho-chi-minh|phuong-tan-phu,IN_WARD
45202949,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44552020,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45202945,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44849133,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45175379,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
44150180,ward|ho-chi-minh|phuong-long-truong,IN_WARD
43845012,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44967290,ward|ho-chi-minh|phuong-tang-nhon-phu,IN_WARD
43513035,ward|ho-chi-minh|phuong-long-truong,IN_WARD
45059343,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44404341,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44404628,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44697172,ward|ho-chi-minh|phuong-an-lac,IN_WARD
44406217,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44404468,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45019830,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
44403119,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45189689,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
45220208,ward|ho-chi-minh|phuong-binh-phu,IN_WARD
41811080,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45135899,ward|ho-chi-minh|phuong-ong-hoa,IN_WARD
45007050,ward|ho-chi-minh|phuong-cho-lon,IN_WARD
44742649,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
42578626,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44466821,ward|ho-chi-minh|phuong-phu-nhuan,IN_WARD
44709669,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45137809,ward|ho-chi-minh|phuong-ong-hoa,IN_WARD
44256714,ward|ho-chi-minh|phuong-binh-thanh,IN_WARD
43827262,ward|ho-chi-minh|phuong-tan-inh,IN_WARD
44186833,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
45110563,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
44416135,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
44742828,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
43284851,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43825788,ward|ho-chi-minh|phuong-long-binh,IN_WARD
