street_id:ID(Street),name:string,ward_id:string,city_province:string,:LABEL
street|1e09c666bc0041,Điện Biên Phủ,ward|ho-chi-minh|phuong-gia-inh,Hồ Chí Minh,Street
street|1e0a98cc6e8937,Vườn Chuối,ward|ho-chi-minh|phuong-xuan-hoa,Hồ Chí Minh,Street
street|1e0d141e4ba1cb,Số 14,ward|ho-chi-minh|phuong-binh-trung,Hồ Chí Minh,Street
street|1ea75a55612753,Trương Phước Phan,ward|ho-chi-minh|phuong-binh-tri-ong,Hồ Chí Minh,Street
street|1ef61b50196d7f,25A,ward|ho-chi-minh|phuong-tan-hung,Hồ Chí Minh,Street
street|1f1e80f34eada5,An Dương Vương,ward|ho-chi-minh|phuong-cho-quan,Hồ Chí Minh,Street
street|1f2b12879ab3b3,10,ward|ho-chi-minh|phuong-tam-binh,Hồ Chí Minh,Street
street|1f513a7ed76ebc,Tạ Quang Bửu,ward|ho-chi-minh|phuong-binh-ong,Hồ Chí Minh,Street
street|1fbbb5e61a0994,26/3,ward|ho-chi-minh|phuong-binh-hung-hoa,Hồ Chí Minh,Street
street|1fbcf88e09836e,Hoàng Lê Kha,ward|ho-chi-minh|phuong-tam-thang,Hồ Chí Minh,Street
street|1fc331b9b90436,Số 22,ward|ho-chi-minh|phuong-hiep-binh,Hồ Chí Minh,Street
street|1ff44d09b75dc9,Tân Hải,ward|ho-chi-minh|phuong-tan-binh,Hồ Chí Minh,Street
street|2003c8ea111801,Nguyễn Cư Trinh,ward|ho-chi-minh|phuong-ben-thanh,Hồ Chí Minh,Street
street|20048b0da4bc0c,Nguyễn Thị Định,ward|ho-chi-minh|phuong-tam-thang,Hồ Chí Minh,Street
street|20aa71fb4841f6,Hồng Hà,ward|ho-chi-minh|phuong-tan-son-nhat,Hồ Chí Minh,Street
street|20bfc623e97bdc,Gò Xoài,ward|ho-chi-minh|phuong-binh-hung-hoa,Hồ Chí Minh,Street
street|20f357fc29b2f4,Lạc Long Quân,ward|ho-chi-minh|phuong-bay-hien,Hồ Chí Minh,Street
street|2126960969f713,Võ Văn Ngân,ward|ho-chi-minh|phuong-thu-uc,Hồ Chí Minh,Street
street|212e34f2bfc01c,Hoàng Hoa Thám,ward|ho-chi-minh|phuong-gia-inh,Hồ Chí Minh,Street
street|21ac691a88ed72,Xô Viết Nghệ Tĩnh,ward|ho-chi-minh|phuong-binh-thanh,Hồ Chí Minh,Street
street|21b136c9923758,Ngô Thời Nhiệm,ward|ho-chi-minh|phuong-cau-kieu,Hồ Chí Minh,Street
street|21ca3f596a2988,Đường Vườn Chuối,ward|ho-chi-minh|phuong-ban-co,Hồ Chí Minh,Street
street|22168270b7f013,Quách Đình Bảo,ward|ho-chi-minh|phuong-phu-thanh,Hồ Chí Minh,Street
street|2266e908e7a553,Đường Số 13,ward|ho-chi-minh|phuong-khanh-hoi,Hồ Chí Minh,Street
street|228db425a8492c,Duy Tân,ward|ho-chi-minh|phuong-phu-nhuan,Hồ Chí Minh,Street
street|22c3c076fa77f0,Nam Kỳ Khởi Nghĩa,ward|ho-chi-minh|phuong-xuan-hoa,Hồ Chí Minh,Street
street|22ce0bf0e1ffe4,Huỳnh Tấn Phát,ward|ho-chi-minh|phuong-tan-my,Hồ Chí Minh,Street
street|22fe67caeda438,11,ward|ho-chi-minh|phuong-linh-xuan,Hồ Chí Minh,Street
street|238e4308efea1f,Hẻm 249 Vườn Lài,ward|ho-chi-minh|phuong-phu-tho-hoa,Hồ Chí Minh,Street
street|23bcf140a7a93c,Liên Tỉnh 5,ward|ho-chi-minh|phuong-chanh-hung,Hồ Chí Minh,Street
street|244325f2ebe94e,Hẻm 60/3 đường số 5,ward|ho-chi-minh|phuong-binh-hung-hoa,Hồ Chí Minh,Street
street|2443b398354f29,D1,ward|ho-chi-minh|phuong-long-binh,Hồ Chí Minh,Street
street|246a0cb86aa59a,Hương lộ 2,ward|ho-chi-minh|phuong-binh-tri-ong,Hồ Chí Minh,Street
street|2523e564927667,Hoàng Trọng Mậu,ward|ho-chi-minh|phuong-tan-my,Hồ Chí Minh,Street
street|25495e276b3b21,Số 38,ward|ho-chi-minh|phuong-hiep-binh,Hồ Chí Minh,Street
street|256461351c0cb8,Số 1,ward|ho-chi-minh|phuong-an-khanh,Hồ Chí Minh,Street
street|25cb9ae0500d70,Hẻm 168/38 Nguyễn Gia Trí,ward|ho-chi-minh|phuong-thanh-my-tay,Hồ Chí Minh,Street
street|266721c4304ca2,Bờ Bao,ward|ho-chi-minh|xa-binh-hung,Hồ Chí Minh,Street
street|26673b3aa17f3d,Tôn Đản,ward|ho-chi-minh|phuong-xom-chieu,Hồ Chí Minh,Street
street|2671051c652122,N5,ward|ho-chi-minh|phuong-long-nguyen,Hồ Chí Minh,Street
street|2695566a5882c0,Nguyễn An Ninh,ward|ho-chi-minh|phuong-di-an,Hồ Chí Minh,Street
street|26dc5986372708,CC5,ward|ho-chi-minh|phuong-tan-son-nhi,Hồ Chí Minh,Street
street|27461f25e70b2a,Phan Huy Ích,ward|ho-chi-minh|phuong-tan-son,Hồ Chí Minh,Street
street|28114df5b81a37,Nguyễn An Ninh,ward|ho-chi-minh|phuong-tam-thang,Hồ Chí Minh,Street
street|283cfe02d5f669,Số 2,ward|ho-chi-minh|phuong-tang-nhon-phu,Hồ Chí Minh,Street
street|286d9639bf7147,Bà Hom,ward|ho-chi-minh|phuong-phu-lam,Hồ Chí Minh,Street
street|2905f541f13cd1,Trần Hưng Đạo,ward|ho-chi-minh|phuong-ben-thanh,Hồ Chí Minh,Street
street|293e6b6537dd0d,Hậu Giang,ward|ho-chi-minh|phuong-binh-phu,Hồ Chí Minh,Street
street|2943e7d2117002,Lê Thị Riêng,ward|ho-chi-minh|phuong-ben-thanh,Hồ Chí Minh,Street
street|2969a50eb8b1b3,Hoàng Diệu,ward|ho-chi-minh|phuong-vinh-hoi,Hồ Chí Minh,Street
street|298c7833b88e2f,Chuyên Dùng 9,ward|ho-chi-minh|phuong-phu-thuan,Hồ Chí Minh,Street
street|29d24d9043fb41,Phan Huy Ích,ward|ho-chi-minh|phuong-an-hoi-tay,Hồ Chí Minh,Street
street|29e9bb264b9e65,Thoại Ngọc Hầu,ward|ho-chi-minh|phuong-phu-thanh,Hồ Chí Minh,Street
street|2b2d09142083d8,Bàu Cát 3,ward|ho-chi-minh|phuong-tan-binh,Hồ Chí Minh,Street
street|2b65c9d61c8e3b,Trần Hưng Đạo,ward|ho-chi-minh|phuong-tan-son-nhi,Hồ Chí Minh,Street
street|2b65fcf836fedc,Nguyễn Trọng Tuyển,ward|ho-chi-minh|phuong-cau-kieu,Hồ Chí Minh,Street
street|2beaf39bb97ce4,Nguyễn Duy Trinh,ward|ho-chi-minh|phuong-long-phuoc,Hồ Chí Minh,Street
street|2c01de6a55bf1c,Số 40,ward|ho-chi-minh|phuong-hiep-binh,Hồ Chí Minh,Street
street|2c4820407ed488,Vạn Kiếp,ward|ho-chi-minh|phuong-gia-inh,Hồ Chí Minh,Street
street|2c9adfe39657c0,Lê Thị Hà,ward|ho-chi-minh|xa-hoc-mon,Hồ Chí Minh,Street
street|2d0a83fe719bd3,Khánh Hội,ward|ho-chi-minh|phuong-vinh-hoi,Hồ Chí Minh,Street
street|2d0af78b58ca9f,Trương Văn Thành,ward|ho-chi-minh|phuong-tang-nhon-phu,Hồ Chí Minh,Street
street|2d3d9e05a25176,Lưu Hữu Phước,ward|ho-chi-minh|phuong-phu-inh,Hồ Chí Minh,Street
street|2d4dcc2f2dfd68,Trường Sơn,ward|ho-chi-minh|phuong-hoa-hung,Hồ Chí Minh,Street
street|2de92042007b02,Số 4,ward|ho-chi-minh|phuong-linh-xuan,Hồ Chí Minh,Street
street|2e2579b28f6b8e,Phạm Viết Chánh,ward|ho-chi-minh|phuong-cau-ong-lanh,Hồ Chí Minh,Street
street|2f3928153106df,Mạc Đĩnh Chi,ward|ho-chi-minh|phuong-tan-inh,Hồ Chí Minh,Street
street|2f65a5c5347149,297,ward|ho-chi-minh|phuong-phuoc-long,Hồ Chí Minh,Street
street|2f8a4dd33396b2,Số 11,ward|ho-chi-minh|phuong-thu-uc,Hồ Chí Minh,Street
