cluster_id:ID(GeoCluster),centroid_latitude:float,centroid_longitude:float,listing_count:int,representative_geohash_6:string,representative_geohash_7:string,:LABEL
G0535,10.79337663,106.68310923,4,w3gv7s,w3gv7su,GeoCluster
G0536,10.79338064,106.64123931,3,w3gv6s,w3gv6sv,GeoCluster
G0537,10.79343799,106.71846354,1,w3gvkk,w3gvkky,GeoCluster
G0538,10.79348532,106.6874371,8,w3gv7s,w3gv7sz,GeoCluster
G0539,10.79356214,106.73461089,1,w3gvku,w3gvkuc,GeoCluster
G0540,10.79365488,106.66258244,6,w3gv7h,w3gv7hv,GeoCluster
G0541,10.79368177,106.59058506,2,w3gv3s,w3gv3sb,GeoCluster
G0542,10.79371881,106.82190501,2,w3gvqu,w3gvquc,GeoCluster
G0543,10.79372726,106.64554515,1,w3gv6u,w3gv6ub,GeoCluster
G0544,10.79377799,106.6245728,1,w3gv6k,w3gv6kc,GeoCluster
G0545,10.7939707,106.66892345,14,w3gv7k,w3gv7m1,GeoCluster
G0546,10.79397646,106.68099591,2,w3gv7s,w3gv7sf,GeoCluster
G0547,10.79424442,106.70877553,3,w3gvkj,w3gvkjn,GeoCluster
G0548,10.79452241,106.68984317,1,w3gv7v,w3gv7v1,GeoCluster
G0549,10.79492509,106.72070899,3,w3gvkm,w3gvkmp,GeoCluster
G0550,10.79493847,106.77514646,1,w3gvmt,w3gvmtp,GeoCluster
G0551,10.79517738,106.66202742,6,w3gv7j,w3gv7jh,GeoCluster
G0552,10.79519705,106.55757716,1,w3gv2v,w3gv2v0,GeoCluster
G0553,10.7953269,106.67749506,9,w3gv7t,w3gv7t0,GeoCluster
G0554,10.79533704,106.67987945,6,w3gv7t,w3gv7t1,GeoCluster
G0555,10.795346,106.73779104,2,w3gvkv,w3gvkv5,GeoCluster
G0556,10.79557898,106.64085693,2,w3gv6t,w3gv6tj,GeoCluster
G0557,10.79559141,106.70510914,1,w3gvkj,w3gvkjk,GeoCluster
G0558,10.79562865,106.69386696,6,w3gv7v,w3gv7v7,GeoCluster
G0559,10.79566713,106.64815021,2,w3gv6v,w3gv6v6,GeoCluster
G0560,10.79567039,106.60586685,1,w3gv3v,w3gv3vk,GeoCluster
G0561,10.79572996,106.6221329,2,w3gv6j,w3gv6jr,GeoCluster
G0562,10.79593194,106.67123781,1,w3gv7m,w3gv7m7,GeoCluster
G0563,10.7959444,106.69060699,2,w3gv7v,w3gv7v3,GeoCluster
G0564,10.79596066,106.70692872,3,w3gvkj,w3gvkjm,GeoCluster
G0565,10.79619196,106.61679296,1,w3gv6j,w3gv6j7,GeoCluster
G0566,10.79630201,106.67568577,4,w3gv7m,w3gv7mq,GeoCluster
G0567,10.79643745,106.7298571,1,w3gvkt,w3gvktq,GeoCluster
G0568,10.79652421,106.65285107,3,w3gv6v,w3gv6vq,GeoCluster
G0569,10.79694461,106.66462186,2,w3gv7j,w3gv7jw,GeoCluster
G0570,10.79701717,106.67747996,1,w3gv7t,w3gv7t8,GeoCluster
G0571,10.79709,106.68137393,2,w3gv7t,w3gv7td,GeoCluster
G0572,10.79718178,106.6836619,5,w3gv7t,w3gv7tt,GeoCluster
G0573,10.79721088,106.82351466,2,w3gvqv,w3gvqvd,GeoCluster
G0574,10.79725818,106.67922304,3,w3gv7t,w3gv7t9,GeoCluster
G0575,10.797476,106.66119746,1,w3gv7j,w3gv7js,GeoCluster
G0576,10.79759834,106.65853634,3,w3gv7j,w3gv7jd,GeoCluster
G0577,10.79762361,106.71073965,4,w3gvkm,w3gvkm8,GeoCluster
G0578,10.79765414,106.69605055,3,w3gv7v,w3gv7vt,GeoCluster
G0579,10.7977443,106.67109668,1,w3gv7m,w3gv7me,GeoCluster
G0580,10.7978905,106.70510003,6,w3gvkj,w3gvkjs,GeoCluster
G0581,10.79798572,106.78732786,1,w3gvqj,w3gvqj8,GeoCluster
G0582,10.79807381,106.73763727,4,w3gvkv,w3gvkvs,GeoCluster
G0583,10.79819411,106.59186762,6,w3gv3t,w3gv3tc,GeoCluster
G0584,10.79837105,106.66836547,8,w3gv7m,w3gv7mb,GeoCluster
G0585,10.7984398,106.71307724,2,w3gvkm,w3gvkmf,GeoCluster
G0586,10.79847743,106.6989704,1,w3gv7v,w3gv7vz,GeoCluster
G0587,10.79852179,106.68804789,11,w3gv7t,w3gv7v8,GeoCluster
G0588,10.798558,106.6659709,1,w3gv7j,w3gv7jz,GeoCluster
G0589,10.7986605,106.69180929,1,w3gv7v,w3gv7vf,GeoCluster
G0590,10.79868075,106.6128051,1,w3gv6j,w3gv6jc,GeoCluster
G0591,10.79876041,106.56007219,1,w3gv2v,w3gv2vf,GeoCluster
G0592,10.79876529,106.82782959,5,w3gvqv,w3gvqvv,GeoCluster
G0593,10.79876801,106.68194631,3,w3gv7t,w3gv7tg,GeoCluster
G0594,10.79881058,106.65544213,2,w3gv7j,w3gv7jb,GeoCluster
G0595,10.79883186,106.81305271,1,w3gvqt,w3gvqtf,GeoCluster
G0596,10.79902904,106.63049094,6,w3gv6m,w3gv6mv,GeoCluster
G0597,10.79907999,106.80514857,1,w3gvqm,w3gvqmv,GeoCluster
G0598,10.79915788,106.6063135,1,w3gv3v,w3gv3vu,GeoCluster
G0599,10.79935242,106.61946138,1,w3gv6j,w3gv6jv,GeoCluster
G0600,10.79940738,106.71829288,4,w3gvkm,w3gvkmv,GeoCluster
G0601,10.79946976,106.67857144,1,w3gv7t,w3gv7tb,GeoCluster
G0602,10.79947625,106.64120386,11,w3gv6w,w3gv6wj,GeoCluster
G0603,10.79954238,106.65054414,5,w3gv6v,w3gv6vu,GeoCluster
G0604,10.79976424,106.58959032,1,w3gv3w,w3gv3w0,GeoCluster
G0605,10.79983483,106.67388108,5,w3gv7q,w3gv7qj,GeoCluster
G0606,10.80004547,106.71660096,6,w3gvkq,w3gvkqh,GeoCluster
G0607,10.80006606,106.69277914,8,w3gv7y,w3gv7y5,GeoCluster
G0608,10.80014885,106.79266869,1,w3gvqn,w3gvqnh,GeoCluster
G0609,10.80057463,106.62769398,2,w3gv6q,w3gv6q5,GeoCluster
G0610,10.80074364,106.62281955,2,w3gv6q,w3gv6q0,GeoCluster
G0611,10.8007561,106.68892228,10,w3gv7y,w3gv7y0,GeoCluster
G0612,10.80080302,106.64309387,4,w3gv6w,w3gv6wq,GeoCluster
G0613,10.80086059,106.8217482,6,w3gvqy,w3gvqy1,GeoCluster
G0614,10.80089004,106.74914304,1,w3gvmn,w3gvmnh,GeoCluster
G0615,10.80095079,106.80111054,1,w3gvqq,w3gvqq6,GeoCluster
G0616,10.80101318,106.6565432,5,w3gv7n,w3gv7n3,GeoCluster
G0617,10.80108262,106.68369015,2,w3gv7w,w3gv7wk,GeoCluster
G0618,10.80111621,106.63951989,2,w3gv6w,w3gv6wk,GeoCluster
G0619,10.80146879,106.81046624,1,w3gvqw,w3gvqw3,GeoCluster
G0620,10.80157126,106.61885875,3,w3gv6n,w3gv6nm,GeoCluster
G0621,10.80160149,106.81431654,1,w3gvqw,w3gvqw7,GeoCluster
G0622,10.80163411,106.69974099,3,w3gvkn,w3gvkn2,GeoCluster
G0623,10.80163802,106.59793297,1,w3gv3w,w3gv3wq,GeoCluster
G0624,10.80215179,106.77715364,3,w3gvmy,w3gvmy2,GeoCluster
G0625,10.80232161,106.7189806,1,w3gvkq,w3gvkqw,GeoCluster
G0626,10.80233582,106.68993863,2,w3gv7y,w3gv7y9,GeoCluster
G0627,10.80245627,106.74181479,7,w3gvky,w3gvkyr,GeoCluster
G0628,10.80253714,106.74610934,2,w3gvmn,w3gvmnd,GeoCluster
G0629,10.80257699,106.65863574,2,w3gv7n,w3gv7nd,GeoCluster
G0630,10.80268078,106.68579831,5,w3gv7w,w3gv7ww,GeoCluster
G0631,10.80278574,106.67652085,1,w3gv7q,w3gv7qx,GeoCluster
G0632,10.80284063,106.8117608,1,w3gvqw,w3gvqw9,GeoCluster
G0633,10.80302069,106.58893598,1,w3gv3q,w3gv3qx,GeoCluster
G0634,10.80310892,106.6303397,2,w3gv6q,w3gv6qw,GeoCluster
G0635,10.80318149,106.71626469,2,w3gvkq,w3gvkqs,GeoCluster
G0636,10.80321224,106.68413509,2,w3gv7w,w3gv7wt,GeoCluster
G0637,10.80340679,106.69304523,1,w3gv7y,w3gv7ye,GeoCluster
G0638,10.80352635,106.68111597,1,w3gv7w,w3gv7wd,GeoCluster
G0639,10.80354399,106.5984962,1,w3gv3w,w3gv3ww,GeoCluster
G0640,10.80387619,106.61691433,4,w3gv6n,w3gv6nu,GeoCluster
G0641,10.80411271,106.82308129,1,w3gvqy,w3gvqyf,GeoCluster
G0642,10.80417166,106.74708506,4,w3gvmn,w3gvmnf,GeoCluster
G0643,10.8042466,106.74963124,8,w3gvmn,w3gvmnu,GeoCluster
G0644,10.8042622,106.69648979,2,w3gv7y,w3gv7yv,GeoCluster
G0645,10.80429319,106.79893069,1,w3gvqq,w3gvqqb,GeoCluster
G0646,10.80442415,106.72867733,1,w3gvkw,w3gvkwv,GeoCluster
G0647,10.80445667,106.6893344,1,w3gv7y,w3gv7yb,GeoCluster
G0648,10.80446371,106.71722289,1,w3gvkq,w3gvkqv,GeoCluster
G0649,10.80447604,106.65837909,1,w3gv7n,w3gv7nf,GeoCluster
G0650,10.80456625,106.82169803,1,w3gvqy,w3gvqyc,GeoCluster
G0651,10.8046188,106.81542696,1,w3gvqw,w3gvqwu,GeoCluster
G0652,10.804743,106.64708218,1,w3gv6y,w3gv6yf,GeoCluster
G0653,10.80489395,106.67287853,2,w3gv7q,w3gv7qu,GeoCluster
G0654,10.80509555,106.66219344,2,w3gv7p,w3gv7ph,GeoCluster
G0655,10.80529096,106.69913059,2,w3gv7z,w3gv7zp,GeoCluster
G0656,10.80559881,106.68204614,30,w3gv7x,w3gv7x5,GeoCluster
G0657,10.8056592,106.63788771,4,w3gv6x,w3gv6x5,GeoCluster
G0658,10.80567136,106.7197287,1,w3gvkr,w3gvkrn,GeoCluster
G0659,10.80571285,106.6050621,2,w3gv3z,w3gv3z5,GeoCluster
G0660,10.80579243,106.83916103,1,w3gvrp,w3gvrpj,GeoCluster
G0661,10.80582844,106.63353303,1,w3gv6x,w3gv6x0,GeoCluster
G0662,10.80587294,106.60334209,1,w3gv3z,w3gv3z4,GeoCluster
G0663,10.80587911,106.71753678,1,w3gvkr,w3gvkrj,GeoCluster
G0664,10.80590431,106.6682033,2,w3gv7r,w3gv7r1,GeoCluster
G0665,10.80592663,106.78999911,5,w3gvqp,w3gvqp4,GeoCluster
G0666,10.80596028,106.69733671,1,w3gv7z,w3gv7zn,GeoCluster
G0667,10.80596324,106.69060094,3,w3gv7z,w3gv7z1,GeoCluster
G0668,10.80605047,106.71136811,2,w3gvkr,w3gvkr0,GeoCluster
G0669,10.80624,106.7784,1,w3gvmz,w3gvmz1,GeoCluster
G0670,10.80671227,106.66252143,2,w3gv7p,w3gv7pm,GeoCluster
G0671,10.80679569,106.67589678,1,w3gv7r,w3gv7rr,GeoCluster
G0672,10.80689657,106.7187082,2,w3gvkr,w3gvkrq,GeoCluster
G0673,10.807433,106.67838044,2,w3gv7x,w3gv7x2,GeoCluster
G0674,10.80767093,106.64597503,2,w3gv6z,w3gv6z3,GeoCluster
G0675,10.8077473,106.70295198,15,w3gvkp,w3gvkp6,GeoCluster
G0676,10.80886328,106.75140429,1,w3gvmp,w3gvmpw,GeoCluster
G0677,10.80899202,106.68902354,12,w3gv7z,w3gv7zb,GeoCluster
G0678,10.80907752,106.72963236,1,w3gvkx,w3gvkxw,GeoCluster
G0679,10.80912813,106.6770536,3,w3gv7r,w3gv7rz,GeoCluster
G0680,10.8093,106.6085,1,w3gv3z,w3gv3zv,GeoCluster
G0681,10.80956167,106.69286874,7,w3gv7z,w3gv7zg,GeoCluster
G0682,10.80983019,106.71339706,8,w3gvkr,w3gvkrf,GeoCluster
G0683,10.8099443,106.6711445,2,w3gv7r,w3gv7rg,GeoCluster
G0684,10.80997516,106.82068915,1,w3gvqz,w3gvqzb,GeoCluster
G0685,10.8099803,106.86142033,1,w3gvrx,w3gvrxy,GeoCluster
G0686,10.81040258,106.68493259,12,w3gv7x,w3gv7xv,GeoCluster
G0687,10.81075182,106.57474905,1,w3gv90,w3gv90j,GeoCluster
G0688,10.81092325,106.77024898,1,w3gvt8,w3gvt85,GeoCluster
G0689,10.81097747,106.70183908,3,w3gvs0,w3gvs04,GeoCluster
G0690,10.81124442,106.61070081,2,w3gv9b,w3gv9bp,GeoCluster
G0691,10.8114841,106.72823657,5,w3gvs8,w3gvs8j,GeoCluster
G0692,10.81187307,106.62431619,1,w3gvd2,w3gvd21,GeoCluster
G0693,10.81194436,106.69251854,6,w3gveb,w3gveb7,GeoCluster
G0694,10.81207502,106.70965112,4,w3gvs0,w3gvs0r,GeoCluster
G0695,10.81236858,106.68835669,4,w3gveb,w3gveb2,GeoCluster
G0696,10.81240656,106.66829503,3,w3gve2,w3gve23,GeoCluster
G0697,10.81294691,106.72076762,1,w3gvs2,w3gvs2r,GeoCluster
G0698,10.81301768,106.68296859,1,w3gve8,w3gve8k,GeoCluster
G0699,10.81331027,106.69706102,6,w3gveb,w3gvebq,GeoCluster
G0700,10.81372296,106.67413824,1,w3gve2,w3gve2t,GeoCluster
G0701,10.81385958,106.77517502,2,w3gvt8,w3gvt8x,GeoCluster
G0702,10.81424463,106.68967783,7,w3gveb,w3gveb9,GeoCluster
G0703,10.81426307,106.62382671,3,w3gvd2,w3gvd29,GeoCluster
G0704,10.81429888,106.78085524,1,w3gvtb,w3gvtbe,GeoCluster
G0705,10.81442333,106.62646715,2,w3gvd2,w3gvd2f,GeoCluster
G0706,10.81496919,106.67269589,4,w3gve2,w3gve2u,GeoCluster
G0707,10.8152501,106.70773695,9,w3gvs0,w3gvs0y,GeoCluster
G0708,10.81573942,106.69506859,12,w3gveb,w3gvebv,GeoCluster
G0709,10.81592873,106.70082324,1,w3gvs0,w3gvs0c,GeoCluster
G0710,10.81597894,106.60190928,1,w3gv9b,w3gv9bc,GeoCluster
